,by,descendants,id,kids,score,time,title,type,url,text
10,neochris,48.0,39819458,"[39822512, 39820020, 39821286, 39824062, 39821676, 39827609, 39820727, 39821638, 39820500, 39824641, 39819797, 39820000, 39821266, 39819950, 39821275]",220,1711389907,Show HN: Tracecat – Open-source security alert automation / SOAR alternative,story,https://github.com/TracecatHQ/tracecat,"Hi HN, we are building Tracecat (<a href=""https:&#x2F;&#x2F;tracecat.com&#x2F;"">https:&#x2F;&#x2F;tracecat.com&#x2F;</a>), an open source automation platform for security alerts. Tracecat automates the tasks a security analyst has to do when responding to a security alert: e.g. contact victims, investigate security logs, report vulnerability.<p>The average security analyst deals with 100 alerts per day. As soon as an alert comes in, you have to investigate and respond. An average alert takes ~30 minutes to analyze (and 100 x 30 min = 50 hours &gt; one whole day) Lots of things get dropped, and this creates vulnerabilities. Many breaches can be traced back to week old alerts that didn’t get properly investigated.<p>Since the risks and costs are so high, top security teams currently pay Splunk SOAR $100,000&#x2F;year to help automate alert processing. It’s a click-and-drag workflow builder with webhooks, REST API integrations, and JSON processors. A security engineer would use it to build alert automations that look like this: (1) webhook to receive alert (e.g. unusual powershell cmd) from Microsoft Defender; (2) send yes&#x2F;no Slackbot to ask employee about the alert; (3) if confirmed as suspicious, send malware sample to VirusTotal for report (4) collect evidence from previous steps and dump it into a ticket.<p>If $100k a year seems wildly expensive for a Zapier-like platform, you’d be half right. Splunk SOAR is actually a Zapier + log search + Jira ticketing system.<p>Log storage—that’s how Splunk turns a $99&#x2F;month workflow automation tool into a pricey enterprise product. Every piece of evidence collected (e.g. Slackbot response, malware report, GeoIP enrichment) and every past workflow trail has to be searchable by a human incident responder or auditor. Security teams need to know why every alert escalated to a SEV1 or not.<p>My cofounder and I are data engineers who fell into this space. We heard our security friends constantly complain about being priced out of a SOAR (security orchestration, automation, and response platform) like Splunk SOAR.<p>We both wrote a lot of event-driven code at school (Master’s thesis) and work (Meta &#x2F; PwC). We’re also early adopters of Quickwit &#x2F; Tantivy, an OSS alternative to Elasticsearch &#x2F; Apache Lucene that is cheaper and faster. It didn’t seem that difficult to build a cheaper open source SOAR, so we decided to do it.<p>Tracecat is also different as it can run in a single VM &#x2F; laptop. Splunk SOAR and Tines are built for Fortune 10 needs, which means expensive Kubernetes clusters. Most security teams don’t need that scale, but are forced to pay the K8s “premium” (high complexity, hard to maintain). Tracecat uses OSS embedded databases (SQLite) and an event processing engine we built using Python 3.12 asyncio.<p>So far, we’ve just got a bare-bones alpha but you can already do quite a few things with it. e.g. trigger event-driven workflows from webhooks; use REST API integrations; parse responses using JSONPath; control flow using conditional blocks; store logs cheaply in Tantivy; open cases directly from workflows; prioritize and manage cases in a Jira-like table.<p>Tracecat uses Pydantic V2 for fast input &#x2F; output validation and Zod for fast form validation. We care a lot about data quality! It’s also Apache-2.0 licensed so anyone can self-host the platform.<p>On our roadmap: integrations with popular security tools (Crowdstrike, Microsoft defender); pre-built workflows (e.g. investigating phishing email); better docs; more AI features like auto-labeling tickets, extracting data from unstructured text etc.<p>We’re still early so would love your feedback and opinions. Feel free to try us out or share it with your security friends. We have a cloud version up and running: <a href=""https:&#x2F;&#x2F;platform.tracecat.com"">https:&#x2F;&#x2F;platform.tracecat.com</a>.<p>Dear HN readers, we’d love to hear your incident response stories and the software you use (or not) to automate the work. Stories from security, site reliability engineering, or even physical systems like critical infrastructure monitoring are all very welcome!"
11,dustingetz,0.0,39827876,,4,1711461449,Barbara Fried SBF sentencing submission,story,https://www.documentcloud.org/documents/24445015-barbara-fried-sbf-sentencing-submission,
12,jszymborski,5.0,39824611,"[39825127, 39825114]",54,1711432332,Packet-Editing Games in Golang (2021),story,https://remyhax.xyz/posts/golang-packet-editing/,
13,gnabgib,96.0,39823282,"[39824328, 39823820, 39825034, 39823854, 39824077, 39824528, 39824065, 39824365, 39823878, 39823872]",79,1711415679,Lifelong Disadvantage: How Socioeconomics Affect Brain Function,story,https://www.jneurosci.org/content/early/2024/03/07/JNEUROSCI.1231-23.2024,
14,chedoku,63.0,39824335,"[39824724, 39824606, 39825092, 39825283, 39824675, 39824741, 39824630, 39824905, 39824416, 39824887, 39824884]",61,1711428361,"Chess puzzle, but you are what you capture",story,https://echochess.com,
15,shahargl,2.0,39827562,[39827913],6,1711459700,Grafana Labs Observability Survey 2024,story,https://grafana.com/observability-survey/,
16,c_joly,154.0,39822184,"[39823235, 39823598, 39823575, 39823295, 39826720, 39826682, 39824361, 39823413, 39823570, 39822957, 39824313, 39823411, 39823133, 39823615]",300,1711407397,Google's First Tensor Processing Unit: Architecture,story,https://thechipletter.substack.com/p/googles-first-tpu-architecture,
17,throwaway888abc,30.0,39823104,"[39824334, 39826453, 39824569, 39823879, 39826342, 39824423, 39827822, 39824248, 39824295, 39824141]",153,1711414288,Moirai: A time series foundation model for universal forecasting,story,https://blog.salesforceairesearch.com/moirai/,
18,transpute,34.0,39813724,"[39825506, 39826878, 39825279, 39826767, 39826861, 39825538, 39825809, 39826651]",61,1711353899,Writing x86 SIMD using x86inc.asm (2017),story,https://blogs.gnome.org/rbultje/2017/07/14/writing-x86-simd-using-x86inc-asm/,
19,lproven,11.0,39826990,"[39827702, 39827721, 39827271, 39827306]",12,1711456003,"HMRC offers a Linux version of Basic PAYE Tools, but it recently stopped working",story,https://www.theregister.com/2024/03/26/hmrc_linux_paye_tools/,
20,gmays,11.0,39786874,"[39827694, 39826214, 39825655, 39826833, 39825898, 39824815]",36,1711074423,A new way Ebola replicates,story,https://nouvelles.umontreal.ca/en/article/2024/03/15/ebola-scientists-reveal-a-new-way-it-replicates/,
21,lichtenberger,19.0,39813626,"[39825727, 39824899]",46,1711352914,Notes on debugging HotSpot's JIT compilation (2023),story,https://jornvernee.github.io/hotspot/jit/2023/08/18/debugging-jit.html,
22,sugawarayuuta,14.0,39824478,"[39826149, 39825930, 39826007, 39825947]",20,1711430413,Show HN: Charcoal – Faster utf8.Valid using multi-byte processing without SIMD,story,https://github.com/sugawarayuuta/charcoal,
23,zdw,0.0,39797416,,23,1711167573,The Linux kernel.task_delayacct sysctl and why you might care about it,story,https://utcc.utoronto.ca/~cks/space/blog/linux/TaskDelayAccountingNotes,
24,wsieroci,11.0,39824589,"[39827723, 39827198, 39827097, 39827444, 39826825, 39827717]",16,1711431917,Show HN: Learn Any Language with an AI Tutor at Your Own Pace,story,https://www.fluffytutor.com,
25,transpute,120.0,39819599,"[39821288, 39820935, 39820460, 39820763, 39820148, 39820522, 39822239, 39822233, 39820784, 39820069, 39821983, 39822413, 39819821]",302,1711390805,ZenHammer: Rowhammer attacks on AMD Zen-based platforms,story,https://comsec.ethz.ch/research/dram/zenhammer/,
26,repelsteeltje,381.0,39825033,"[39828021, 39828014, 39825560, 39825967, 39825281, 39827771, 39827839, 39825156, 39827803, 39827461, 39825071, 39825315, 39827641, 39826546, 39826908, 39827819, 39825086, 39827106, 39825132, 39826439, 39825828, 39825096, 39826345, 39827135, 39826722, 39827774, 39825561, 39826838, 39825271, 39825623, 39825377, 39826709, 39825352, 39825120, 39825094, 39825906, 39825353, 39826539, 39825593, 39826534, 39825567, 39825668, 39825126, 39825275]",524,1711437909,"The Francis Scott Key Bridge in Baltimore, Maryland Has Collapsed",story,https://twitter.com/sentdefender/status/1772514015790477667,
27,achow,141.0,39824191,"[39824429, 39824631, 39824263, 39825614, 39825290, 39824591, 39825557, 39825580, 39825956, 39824464, 39826259, 39824578, 39825278, 39825310, 39825273, 39824459, 39826485, 39826244, 39824451, 39825472, 39827253, 39825419, 39825613, 39824901, 39825897, 39824618, 39826327, 39825597, 39824297, 39825047, 39824594, 39824383, 39825329, 39824941, 39824972, 39826052, 39826786, 39824268, 39824701, 39824452, 39826024, 39824255, 39824575, 39825380]",184,1711425945,Canva has acquired Affinity in an effort to compete with Adobe,story,https://finance.yahoo.com/news/canva-acquires-affinity-design-suite-004813952.html,
28,hotdailys,86.0,39827113,"[39827439, 39827415, 39827364, 39827810, 39827738, 39827440, 39827516, 39827686, 39827708, 39827735, 39827450, 39827417, 39827394, 39827501, 39827448, 39827621, 39827339, 39827385, 39827500, 39827421, 39827412, 39827338, 39827491]",47,1711456862,Florida's DeSantis signs law restricting social media for people under 16,story,https://www.reuters.com/world/us/floridas-desantis-signs-law-restricting-social-media-people-under-16-2024-03-25,
29,notagoodidea,13.0,39813978,"[39818728, 39824870, 39818908, 39818813, 39824492]",46,1711356764,Computing with JavaScript's Undefined (2020),story,https://esoteric.codes/blog/calculating-with-jss-undefined,
30,tambourine_man,119.0,39824100,"[39824780, 39826406, 39825070, 39827868, 39827592, 39824180, 39824959, 39826051, 39826074, 39825650, 39827598, 39827195, 39825441, 39825861, 39826201, 39826480, 39826179, 39826091, 39825893, 39825707, 39827865, 39825793]",132,1711424873,Scientists rename genes to stop Microsoft Excel from misreading them as dates (2020),story,https://www.theverge.com/2020/8/6/21355674/human-genes-rename-microsoft-excel-misreading-dates,
31,bookofjoe,90.0,39815936,"[39823463, 39825447, 39822969, 39824852, 39821600, 39821306, 39826476, 39824823, 39821489, 39823289, 39821487, 39825052, 39823968, 39824063, 39821867, 39821378, 39816482, 39822817]",231,1711372820,Martin Scorsese's secret life as an obsessive VHS archivist,story,https://www.theguardian.com/film/2024/mar/25/martin-scorsese-vhs-video-collection-archive,
32,kryster,25.0,39823505,"[39823682, 39824308, 39823742, 39823835, 39824427]",88,1711417961,Unlocking the secrets of myelin repair,story,https://neuroscience.stanford.edu/news/unlocking-secrets-myelin-repair,
33,lervag,359.0,39814334,"[39822753, 39823946, 39822920, 39827409, 39822927, 39814561, 39826039, 39822623, 39824928, 39825830, 39827963, 39822720, 39814826, 39814517, 39823395, 39827586, 39823447, 39814513, 39827157, 39827211, 39827206, 39822838, 39814519, 39824747, 39827143, 39827454, 39826896, 39822570, 39824654, 39825734, 39814430, 39814554, 39825051, 39824951, 39814603, 39825974, 39822774, 39824988, 39814905, 39823554, 39826479, 39814584, 39823273, 39823768, 39814447, 39814594, 39823009, 39822676, 39825280, 39814707, 39824550, 39825701, 39824729, 39824094, 39825173, 39824085, 39814723, 39824486, 39815022, 39823630, 39824116, 39814596, 39823948, 39823576, 39826880, 39824536, 39824778, 39823254, 39824309, 39814545, 39826572, 39817115, 39823894, 39824548, 39822778, 39823971, 39815484, 39822550, 39814552, 39825474, 39823725, 39823421, 39817918, 39823784, 39823688, 39824187, 39814682, 39823128, 39825680]",210,1711360638,Friends don't let friends export to CSV,story,https://kaveland.no/friends-dont-let-friends-export-to-csv.html,
34,cyanbane,75.0,39800678,"[39819315, 39821778, 39820123, 39821382, 39811200, 39819766, 39820747, 39820720, 39818641, 39823882, 39823030, 39820304, 39818944, 39819738, 39819245, 39822041, 39820248, 39822351]",242,1711208091,See a Fish? Ring the Bell,story,https://visdeurbel.nl/en/the-fish-doorbell/,
35,nateb2022,45.0,39786663,"[39825691, 39789245, 39827075, 39793176, 39790410, 39825995, 39825909, 39826057]",67,1711072206,Cwerg: C-like language that can be implemented in 10kLOC,story,https://github.com/robertmuth/Cwerg,
36,johnjago,29.0,39819409,"[39821430, 39825234, 39823184, 39820963, 39819410, 39826705, 39821467, 39825131, 39822552, 39823603, 39823608, 39826728, 39821535, 39825249, 39822573]",312,1711389536,Two open source projects with great architecture documentation,story,https://johnjago.com/great-docs/,
37,sohkamyung,122.0,39822222,"[39823398, 39823524, 39823248, 39822936, 39822948, 39824168, 39823885, 39823407, 39827740, 39822732, 39825288, 39824327, 39826200, 39822934, 39823543, 39822889, 39822706, 39823412]",145,1711407640,Inkjets are for more than just printing,story,https://spectrum.ieee.org/inkjet-printer,
38,kryster,5.0,39823079,"[39826212, 39827183]",63,1711414127,Computational Astronomy: Exploring the Cosmos with Wolfram,story,https://blog.wolfram.com/2024/03/25/computational-astronomy-exploring-the-cosmos-with-wolfram/,
39,rwmj,77.0,39782261,"[39821388, 39827599, 39822174, 39825636, 39826023, 39826545, 39826859, 39825806, 39821132, 39822734, 39824608, 39822804, 39823446, 39822616, 39826494, 39821912, 39823868, 39822549, 39826516, 39782271, 39823594, 39822745, 39826390, 39824971, 39822515, 39824203, 39822806, 39824473, 39821748, 39822343, 39821223, 39821461, 39784219, 39799815, 39821561, 39824388, 39808275, 39826964, 39824922, 39821870, 39822755, 39822304, 39822469, 39822319, 39823606, 39823646, 39821387, 39824362, 39824144, 39823354, 39824597]",130,1711044746,Electronic project kits: hands on with a vintage 160-in-1 (2016),story,https://medium.com/@rxseger/electronic-project-kits-hands-on-with-a-vintage-160-in-1-eea39e6193f4,
40,anarbadalov,203.0,39816423,"[39816816, 39816958, 39817393, 39817453, 39817572, 39817989, 39818956, 39819914, 39817078, 39817167, 39817463, 39818659, 39819142, 39818059, 39818371, 39816910, 39819167]",204,1711375275,For Brilliant Color: Packaging the First LSD Blotter,story,https://thereader.mitpress.mit.edu/for-brilliant-color-packaging-the-first-lsd-blotter/,
41,georges_gomes,56.0,39816836,"[39818878, 39817677, 39827249, 39817878, 39817305, 39818287, 39819156, 39819696, 39819450, 39819698, 39818835, 39817741, 39822231, 39820729, 39818516, 39818850, 39818860, 39820927, 39817612, 39820031, 39825602]",295,1711377166,Show HN: Jampack – Optimizes static websites as a post-processing step,story,https://github.com/divriots/jampack,"Hi!<p>Jampack is a post-processing tool that takes the output of your Static Site Generator (aka SSG) and optimizes it for best user experience and best Core Web Vitals scores.<p>As of today it can:<p>- Optimize local images, CDN images or external images<p>- Optimize above-the-fold vs below-the-fold<p>- Limit images max width<p>- Inline critical CSS<p>- Prefetch links on scroll<p>- Improve browser compatibility<p>- Auto-fixes HTML issues<p>- Warn for HTML accessibility issues<p>- Compress all assets in the end<p>It processes directly the static output so it&#x27;s compatible with any SSG or framework. We are intensively using it as a post-processing step to our Astro websites for example.<p>With Jampack, we end-up focusing more on how simple, readable and maintainable our code is, throw images of any size, and let it optimize for maximum performance.<p>We hope this can be helpful to lot of people!
Cheers,
Georges and the ‹div›RIOTS team!"
42,impish9208,577.0,39814558,"[39819529, 39824355, 39819693, 39821206, 39816668, 39814936, 39820471, 39814807, 39814811, 39814882, 39814795, 39815155, 39820694, 39815463, 39815103, 39815466, 39814712, 39815131, 39815070, 39814901, 39815148, 39814950, 39814818, 39818254, 39816680, 39814874]",553,1711363097,"Commission opens non-compliance investigations against Alphabet, Apple and Meta",story,https://ec.europa.eu/commission/presscorner/detail/en/ip_24_1689,
43,adawg4,70.0,39817850,"[39821080, 39823038, 39820489, 39822820, 39819730, 39819780, 39824553, 39822473, 39821833, 39820794, 39823252, 39820250, 39822703, 39819631, 39820897, 39826313, 39821316, 39820239, 39819717]",162,1711381798,Show HN: Auto-generate an OpenAPI spec by listening to localhost,story,https://github.com/Adawg4/openapi-autospec,"Hey HN! We&#x27;ve developed OpenAPI AutoSpec, a tool for automatically generating OpenAPI specifications from localhost network traffic. It’s designed to simplify the creation of API documentation by just using your website or service, especially useful when you&#x27;re pressed for time.<p>Documenting endpoints one by one sucks. This project originated from us needing it at our past jobs when building 3rd-party integrations.<p>It acts as a local server proxy that listens to your application’s HTTP traffic and automatically translates this into OpenAPI 3.0 specs, documenting endpoints, requests, and responses without much effort.<p>Installation is straightforward with NPM, and starting the server only requires a few command-line arguments to specify how and where you want your documentation generated ex. npx autospec --portTo PORT --portFrom PORT --filePath openapi.json<p>It&#x27;s designed to work with any local website or application setup without extensive setup or interference with your existing code, making it flexible for different frameworks. We tried capturing network traffic on Chrome extension and it didn&#x27;t help us catch the full picture of backend and frontend interactions.<p>We aim in future updates to introduce features like HTTPS and OpenAPI 3.1 specification support.<p>For more details and to get started, visit our GitHub page (<a href=""https:&#x2F;&#x2F;github.com&#x2F;Adawg4&#x2F;openapi-autospec"">https:&#x2F;&#x2F;github.com&#x2F;Adawg4&#x2F;openapi-autospec</a>). We also have a Discord community (<a href=""https:&#x2F;&#x2F;discord.com&#x2F;invite&#x2F;CRnxg7uduH"" rel=""nofollow"">https:&#x2F;&#x2F;discord.com&#x2F;invite&#x2F;CRnxg7uduH</a>) for support and discussions around using OpenAPI AutoSpec effectively.<p>We&#x27;re excited to hear what you all think!"
44,skilled,104.0,39826176,"[39826905, 39826745, 39827679, 39827108, 39826444, 39827635, 39827784, 39827245, 39826629, 39827003, 39826689, 39826788]",144,1711449450,Julian Assange granted permission to appeal against extradition to US,story,https://www.theguardian.com/media/2024/mar/26/julian-assange-granted-permission-to-appeal-against-extradition-to-us,
45,andersource,0.0,39826463,,3,1711451993,"OpenAI Sora's first short film – ""Air Head,"" created by shy kids [video]",story,https://www.youtube.com/watch?v=yplb0yBEiRo,
46,kelthuzad,31.0,39824827,"[39827976, 39827729, 39825354, 39825976, 39825219, 39825831, 39825480, 39826237, 39826068, 39826448, 39825821, 39825394, 39825396]",41,1711435187,Telegram's peer-to-peer SMS login service is a privacy nightmare,story,https://techcrunch.com/2024/03/25/telegrams-peer-to-peer-sms-login-service-is-a-privacy-nightmare/,
47,luu,38.0,39805021,"[39822155, 39820197, 39821541, 39819467, 39822756, 39819652, 39820105]",92,1711251959,Velox: Meta's Unified Execution Engine [pdf],story,https://www.eecs.umich.edu/courses/eecs584/static_files/papers/p3372-pedreira.pdf,
48,rcarmo,26.0,39811298,"[39815258, 39816858, 39816625, 39814841, 39819398, 39821069, 39820949, 39821811]",104,1711321147,Port-scanning the fleet and trying to put out fires,story,http://rachelbythebay.com/w/2024/03/21/scan/,
49,ingve,23.0,39814271,"[39823676, 39822965, 39821204, 39823766, 39824033]",88,1711359958,Hidden Files in C64 OS,story,https://www.c64os.com/post/hiddenfiles,
50,belter,264.0,39815731,"[39821088, 39822650, 39820538, 39822788, 39820520, 39819705, 39818608, 39824106, 39819706, 39822952, 39823736, 39823627, 39819751, 39820616, 39820429, 39820624]",118,1711371453,Debt-related driver’s license suspensions in Ohio,story,https://www.clevelandfed.org/publications/cd-reports/2024/20240228-debt-related-drivers-license-suspensions,
51,lermontov,51.0,39796837,"[39811694, 39818959, 39818876, 39819694, 39820425, 39819515, 39819466, 39821150, 39826721]",100,1711159509,William Adams: English Advisor to the Shogun,story,https://www.historytoday.com/archive/history-matters/william-adams-english-advisor-shogun,
52,refset,15.0,39817497,"[39822323, 39818579, 39818095, 39818115, 39818565, 39819537, 39821129, 39824931, 39817757]",56,1711380311,CFEngine's Star Trek and AI Origins (2023),story,https://mark-burgess-oslo-mb.medium.com/cfengines-star-trek-and-ai-origins-e99096fe845b,
53,mattismegevand,33.0,39821632,"[39822344, 39826412, 39826652, 39825363, 39822011, 39823605, 39823573, 39825137, 39825929, 39822557, 39822120, 39823782, 39822861, 39824337, 39822400, 39822028, 39822568]",159,1711403372,Show HN: Invertornot.com – API to enhance your images in dark-mode,story,https://invertornot.com,"Hi HN, I built (<a href=""https:&#x2F;&#x2F;invertornot.com"" rel=""nofollow"">https:&#x2F;&#x2F;invertornot.com</a>) it&#x27;s an API that can predict whether an image will look good&#x2F;bad while inverted. This is particularly useful for images in dark-mode as you can now safely invert them.<p>The conservative solution to adapt images for dark-mode consist in dimming the image, however there is a lot of images that can be inverted (graph for example). Using deep learning we can avoid heuristics and obtain a much more reliable solution.<p>The API uses an EfficientNet pre-trained model fine-tuned on a custom dataset (1.1k samples). EfficientNet was chosen as it was pre-trained and offered the best performance for its size.<p>The trained model is very small (16MB) which means you can easily run your own instance. This problem is very simple for deep learning as it&#x27;s a simple binary classification.<p>For this project training the model wasn&#x27;t the challenge as most of the time was spent on the construction of the dataset.<p>For the API I&#x27;m using FastAPI, Redis and ONNX Runtime to run the model. The API can be used by posting the images to the API, using URL and using SHA-1 for already processed images.<p>The API is free and open-sourced (<a href=""http:&#x2F;&#x2F;github.com&#x2F;mattismegevand&#x2F;invertornot"">http:&#x2F;&#x2F;github.com&#x2F;mattismegevand&#x2F;invertornot</a>)."
54,hcxl,0.0,39824173,,4,1711425733,Show HN: Onelook – Create applications by describing them in human language,story,https://onelook.ai/,"Hey HN! We are the team at Onelook.<p>Demo: <a href=""https:&#x2F;&#x2F;demo.onelook.ai&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;demo.onelook.ai&#x2F;</a>
Blog post: <a href=""https:&#x2F;&#x2F;medium.com&#x2F;@onelook&#x2F;introducing-onelook-a-radical-new-way-to-create-internal-applications-01e04c28b2f6"" rel=""nofollow"">https:&#x2F;&#x2F;medium.com&#x2F;@onelook&#x2F;introducing-onelook-a-radical-ne...</a><p>Onelook allows users to create fully-functional applications by describing them in human language. And by fully-functional we really mean backend included. Think of it as Retool for non-technical people or Copilot to build apps.<p>Existing tools are for technical teams and even Retool, which is a great product, requires setting up connection to databases, write queries, and call REST APIs.<p>We understand it is impossible to create a fully-functional app just by describing it in one go. Our approach is to model the conversation between a client and a product manager. In this case, the AI is the PM. The user chats back and forth with the AI to refine the app.<p>Thank you!"
55,countrymile,14.0,39798225,"[39823314, 39818872, 39819263, 39824214, 39819921, 39819983, 39818824, 39820189]",76,1711180185,Repairing a buggy board arcade machine,story,https://philwip.com/2024/03/22/pcb-repair-speed-buggy-buggy-boy/,
56,alexmolas,22.0,39818825,"[39820233, 39820074, 39821959, 39819634, 39820661, 39820312, 39820812, 39820167, 39822486]",61,1711386773,Solving Crew Battle Strategy with Math,story,https://www.alexirpan.com/2024/03/23/crew-battle.html,
57,Keegs,3.0,39821629,"[39824472, 39826297, 39824282]",24,1711403362,In B-Flat,story,http://www.inbflat.net/,
58,celeritascelery,18.0,39815429,"[39820529, 39821100, 39821017, 39823638, 39824367]",95,1711369486,Bump Allocation: Up or Down?,story,https://coredumped.dev/2024/03/25/bump-allocation-up-or-down/,
59,titaniumtown,15.0,39823856,"[39824164, 39824532, 39824078, 39824450, 39824646, 39824067, 39824075]",47,1711421550,Nix at Scale,story,https://lwn.net/SubscriberLink/965631/f3db6d3dde3f83cb/,
60,dmarto,71.0,39804004,"[39819813, 39822214, 39819372, 39820282, 39819814, 39818970, 39819243, 39815691, 39820508, 39821815, 39813947, 39819141, 39819818, 39820562, 39821650, 39819839, 39819507, 39819943, 39804685, 39819933, 39818654, 39823051, 39821231, 39821297]",129,1711239185,TCP connection timeout mystery,story,https://devnonsense.com/posts/tcp-connection-timeout-mystery/,
61,undefined_void,12.0,39813588,"[39821560, 39816961, 39819456, 39817216, 39818393]",89,1711352508,Turbocall – Just-in-time compiler for Deno FFI,story,https://divy.work/turbocall.html,
62,rbanffy,23.0,39814683,"[39817120, 39821374, 39817715, 39816239, 39819207, 39819595, 39821107]",88,1711364296,Exosuit muscle control steps closer to reality,story,https://spectrum.ieee.org/functional-electrical-stimulation-exosuit-project,
63,rcarmo,90.0,39811261,"[39813826, 39815644, 39814783, 39816059, 39814176, 39813746, 39814666, 39815401, 39824833, 39817331, 39814285, 39816936, 39814268, 39814832, 39818487]",233,1711320813,DongleHider+ Framework Laptop Expansion Card,story,https://github.com/LeoDJ/FW-EC-DongleHiderPlus,
64,gslin,31.0,39823271,"[39827047, 39823497, 39823797, 39824112]",75,1711415607,Publishers secure widespread support in copyright battle with Internet Archive,story,https://torrentfreak.com/publishers-secure-widespread-support-in-landmark-copyright-battle-with-internet-archive-240324/,
65,manuw,12.0,39825440,"[39827938, 39826100, 39826763, 39826158, 39826331, 39827657, 39826213, 39826141, 39826220]",31,1711442293,Why do regexes use `$` and `^` as line anchors?,story,https://buttondown.email/hillelwayne/archive/why-do-regexes-use-and-as-line-anchors/,
66,luu,15.0,39796600,"[39825200, 39797159, 39827196, 39826190, 39825080, 39825903, 39796649, 39796791]",52,1711157069,How to trade software for small money?,story,https://www.scattered-thoughts.net/writing/how-to-trade-software-for-small-money/,
67,zdw,1.0,39819611,[39820698],11,1711390881,Designing the Light Source for Iris,story,https://www.bunniestudios.com/blog/?p=7035,
68,mepian,43.0,39812076,"[39812348, 39815884, 39814781, 39815311]",50,1711329495,Symbolics Sunstone Development Plan (1987) [pdf],story,https://wiki.unix-haters.org/lib/exe/fetch.php?media=smbx:1987-sunstone.pdf,
69,diodorus,226.0,39787334,"[39817215, 39815838, 39820697, 39816997, 39816507, 39819219, 39821855, 39815277, 39825454, 39815066, 39819335, 39816128, 39815619, 39816209, 39815279, 39815727, 39821227]",145,1711079651,When did dogs become our best friends?,story,https://www.atlasobscura.com/articles/when-did-dogs-become-our-best-friends,
70,KingKaram,1.0,39823024,[39827408],23,1711413640,Volunteer for the FSF and GNU,story,https://www.fsf.org/volunteer/,
71,mannders,12.0,39816827,"[39825291, 39823366, 39819323, 39823080, 39819492]",31,1711377118,Show HN: DeploySolo – The SaaS boilerplate for engineers. (Pocketbase/ Htmx),story,https://deploysolo.com/,"Golang is an incredible language for web development. That being said, indie developers and small businesses will likely miss extensive resources found in other projects like Django. Although building an application from the ground up using the standard library is possible, it can be error prone and time consuming.<p>Pocketbase has almost everything an indie developer needs, supporting database, authentication, and file storage into a single, easy-to-deploy executable. Combined with HTMX, and you can created a full stack web application without bloated front end frameworks. That being said, its a relatively new project, without extensive hands on resources for new developers to dive in and create full projects.<p>This is why I&#x27;m building DeploySolo. On the surface, its a SaaS boilerplate carefully crafted to leverage the best of these technologies. Looking further, it is my mission to create cook books and resources for indie hackers and small businesses to build real world apps using this stack without feeling lost."
